rollout/ep_len_std_custom,rollout/success_rate,rollout/reward_std_all,rollout/ep_len_mean_custom,time/time_elapsed,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/reward_mean_all,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,rollout/ep_rew_std_custom,time/total_timesteps,rollout/steps_this_iter,rollout/ep_rew_mean_custom,time/fps,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate
73.20553257780453,1.0,0.6958565517285251,147.1,356,88.13899640329818,-7641.00807094574,-201.07915976172998,41,-1.3759488224983216,151.8684210526316,-7044.857971191406,80.77995373741639,209920,5120,-197.59899485588073,589,38,91.81455993631214,0.0056641297,0.8286178708076477,400,0.2,-0.002513004044885747,151.3813848543167,-0.9322379022836685,85.86917114257812,0.03955078125,0.0003
76.18783301814013,1.0,0.6658270615075418,148.79,365,74.72149698734218,-6960.209945678711,-210.91545289935488,42,-1.3507754240185021,153.6969696969697,-6915.970170974731,83.49246718005088,215040,5120,-200.39778505802155,588,33,86.02679778503584,0.006009707,0.8284168243408203,410,0.2,-0.0024254571404890156,159.77337666511536,-0.8559747158735991,62.840972900390625,0.05142578125,0.0003
75.63925964735509,1.0,0.6977184781450275,146.32,375,71.51238237769269,-6492.979855060577,-180.36055152946048,43,-1.3125082108192145,139.41666666666666,-6720.042039394379,85.33026932229376,220160,5120,-196.26308566570282,586,36,77.23613532258067,0.004454553,0.7949129939079285,420,0.2,-0.0022818604946951383,180.71401724815368,-0.7586021661758423,81.17864990234375,0.036953125,0.0003
64.95104233189795,1.0,0.6785492009347556,142.11,384,37.09451336573591,-6581.180526733398,-177.86974396576753,44,-1.328573301434517,130.32432432432432,-6802.295303344727,72.35789121084593,225280,5120,-190.03835522174836,585,37,36.64805102383846,0.005590758,0.8161375522613525,430,0.2,-0.0038587003902648574,168.59481135845184,-0.8469998005777597,96.1861343383789,0.04974609375,0.0003
52.531575266690794,1.0,0.7127218210035491,132.44,394,48.51023920323447,-7305.7546491622925,-178.18913778444616,45,-1.3722135952906682,130.02439024390245,-7025.733607888222,59.35996882513527,230400,5120,-177.63526015758515,584,41,59.49331897746955,0.0034007034,0.8563171625137329,440,0.2,-0.0017453659820603207,123.91978354930878,-0.8605704952776432,66.20403289794922,0.0346875,0.0003
41.151032793843704,1.0,0.7034288148773541,131.15,404,33.652451619458574,-6738.736312866211,-168.46840782165526,46,-1.3137132986448705,130.75,-6726.212089061737,44.78294835647309,235520,5120,-173.95975810050965,582,40,29.806832518537934,0.0020453962,0.8535471558570862,450,0.2,-0.0012976781418547034,161.11585102558135,-0.7715820586681366,48.76076126098633,0.0311328125,0.0003
41.46673244903678,1.0,0.7077610082135507,125.49,413,40.33243378993513,-7055.371612548828,-167.9850383940197,47,-1.4098002744372935,118.23809523809524,-7218.177405118942,51.158830616789274,240640,5120,-171.41790308952332,581,42,50.82172374652396,0.0042410404,0.8702106475830078,460,0.2,-0.0016251827706582843,122.17704041481018,-0.8803709349781275,38.08190155029297,0.03380859375,0.0003
47.070015933713044,1.0,0.6792106801759185,128.44,423,55.91606461436313,-7083.3419189453125,-191.44167348500844,48,-1.392897140327841,138.35135135135135,-7131.633358478546,54.39773507146896,245760,5120,-176.86094116210938,580,37,64.42087330747253,0.0029505524,0.8524153232574463,470,0.2,-0.0011810816611978225,152.81004103183747,-0.8075210589915514,28.74721908569336,0.0259375,0.0003
48.61818075576255,1.0,0.6805349252663176,131.05,432,41.91843418656927,-6881.002403259277,-181.07901061208625,49,-1.3511695901630447,133.05263157894737,-6917.9883016347885,54.72938072824381,250880,5120,-180.77887939453126,579,38,43.64127633121396,0.0040023173,0.8085953593254089,480,0.2,-0.002149019989010412,171.28033994674684,-0.7534686662256718,137.75393676757812,0.0252734375,0.0003
42.07093533545457,1.0,0.7128898687516789,123.42,448,43.57116341104212,-6944.2847146987915,-157.82465260679072,50,-1.3838692552875727,115.0909090909091,-7085.410587072372,45.998910399214495,256000,5120,-169.59142045021056,571,44,49.039767373178684,0.0047878856,0.8274820446968079,490,0.2,-0.002736151653516572,151.63826611042023,-0.7479442326724529,51.764652252197266,0.043203125,0.0003
